ID,priceTotal,pricePolicy,priceIPT,priceNet
156,30.75,30.75,2.60,6.73
157,34.26,34.26,2.90,8.73
158,40.11,40.11,3.40,10.23
159,47.79,47.79,4.05,12.19
160,50.21,50.21,4.25,12.75
161,62.01,62.01,5.25,15.81
162,73.91,73.91,6.26,18.85
163,85.87,85.87,7.27,21.90
164,97.79,97.79,8.28,24.95
260,39.95,39.95,3.38,8.73
261,44.55,44.55,3.77,11.37
262,52.16,52.16,4.42,13.31
263,62.14,62.14,5.26,15.86
264,65.28,65.28,5.53,16.58
265,80.57,80.57,6.82,20.54
266,96.09,96.09,8.14,24.51
267,111.63,111.63,9.45,28.47
268,127.16,127.16,10.77,32.45
151,61.46,61.46,5.21,13.43
152,68.53,68.53,5.80,17.48
153,80.25,80.25,6.80,20.46
154,95.62,95.62,8.10,24.39
155,100.43,100.43,8.51,25.51
309,124,124,10.50,31.62
310,147.8,147.8,12.52,37.71
311,171.74,171.74,14.55,43.80
312,195.62,195.62,16.57,49.93
274,84.55,84.55,7.16,18.48
275,94.24,94.24,7.98,24.04
276,110.31,110.31,9.34,28.12
277,131.45,131.45,11.13,33.55
278,138.08,138.08,11.70,35.08
317,170.47,170.47,14.44,43.47
318,203.24,203.24,17.21,51.85
319,236.15,236.15,20.00,60.22
320,268.99,268.99,22.78,68.65
376,99.92,99.92,8.46,21.84
377,111.36,111.36,9.43,28.41
378,130.38,130.38,11.04,33.23
379,155.36,155.36,13.16,39.64
380,163.19,163.19,13.82,41.45
906,201.5,201.5,17.07,51.38
907,240.19,240.19,20.34,61.28
908,279.08,279.08,23.64,71.17
909,317.87,317.87,26.92,81.12
293,115.27,115.27,9.76,25.20
294,128.49,128.49,10.88,32.77
295,150.46,150.46,12.74,38.35
296,179.25,179.25,15.18,45.74
297,188.31,188.31,15.95,47.83
333,232.48,232.48,19.69,59.28
334,277.14,277.14,23.47,70.69
335,322.02,322.02,27.28,82.12
336,366.78,366.78,31.07,93.60
933,62.54,62.54,5.30,16.21
934,67.16,67.16,5.69,17.38
935,73.61,73.61,6.23,19.04
936,82.74,82.74,7.01,21.11
937,91.2,91.2,7.72,23.59
938,113.25,113.25,9.59,29.29
939,135.23,135.23,11.45,35.01
940,157.25,157.25,13.32,40.68
941,179.27,179.27,15.18,46.41
1104,81.27,81.27,6.88,21.05
1105,87.32,87.32,7.40,22.60
1106,95.69,95.69,8.10,24.77
1107,107.54,107.54,9.11,27.45
1108,118.55,118.55,10.04,30.67
1109,147.23,147.23,12.47,38.08
1110,175.8,175.8,14.89,45.52
1111,204.43,204.43,17.32,52.88
1112,233.08,233.08,19.74,60.33
1018,125.05,125.05,10.59,32.41
1019,134.33,134.33,11.38,34.77
1020,147.19,147.19,12.47,38.08
1021,165.47,165.47,14.02,42.21
1022,182.39,182.39,15.45,47.18
1129,226.5,226.5,19.18,58.60
1130,270.46,270.46,22.91,70.02
1131,314.5,314.5,26.64,81.36
1132,358.58,358.58,30.37,92.82
1113,171.95,171.95,14.56,44.56
1114,184.7,184.7,15.64,47.79
1115,202.4,202.4,17.14,52.37
1116,227.51,227.51,19.27,58.05
1117,250.78,250.78,21.24,64.87
1137,311.43,311.43,26.38,80.57
1138,371.89,371.89,31.50,96.27
1139,432.42,432.42,36.63,111.86
1140,493.03,493.03,41.76,127.62
1089,203.22,203.22,17.21,52.66
1090,218.27,218.27,18.49,56.49
1091,239.19,239.19,20.26,61.89
1092,268.88,268.88,22.77,68.60
1093,296.36,296.36,25.10,76.66
